Escn01-01_ev002-001p-0001_C,"
お稲荷様はくるりと後ろを向いて
四つん\r[這,ば]いになると、くいっとこちらに尻を突き出す:page

"
Escn01-01_ev002-001p-0002_C,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0063','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ほ、ほれっ
さっさと済まさんか…:page

ゴクリ……:page

自分がリクエストした通りの女体が取るポーズの
破壊力はかなりのものだった:page

程よい肉付きのお尻と程よい肉付きの肢体、
ぎこちなく不安さを醸し出す尻尾の様子…:page

そして何より不安げながらもこちらの要望に応えて
僕を迎え入れるべく、お尻を突き出している様子……:page

この征服感…たまらない……！:page

"
Escn01-01_ev002-001p-0003_C,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0064','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>じ、じっくり見るモノでもないだろう……:page

実体は狐とはいえ、今目の前にあるのは人間の性器だ
それも女性器……:page

インターネットで検索すればそれこそ高解像度の
女性器などいくらでも見られる時代になってしまったが、:page

いつの時代も生の迫力というものには
敵わないという言葉が今は身に染みて分かった気がする:page
"
Escn01-01_ev002-002p-0001_C,"すぅ……
…はぁ:page
"
Escn01-01_ev002-002p-0002_C,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0065','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ッ！:page

本能的に女性器の匂いを嗅いでしまう:page

これは…なんというか……:page

汗臭い…というのが一番しっくりくるのだが、
本当にクサイという不快なものではなく、
また嗅いでみたいと思うような中毒性がある:page

ああ、このまま嗅いでいたい――:page

"
Escn01-01_ev002-002p-0003_C,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0066','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>いつまで、眺めておるのだっ…
まぐわう気がないのならもう終わるぞ！:page

\n<\v[153]>で、では……っ:page

お稲荷様のお尻に両手を添えて、
舌を出し、顔を女性器に近づけていく――:page

"
Escn01-01_ev002-002p-0004_C,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0067','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ひゃぅ…っ:page

お尻に手が触れた瞬間、びくっとする反応:page

いよいよ、僕も童貞卒業するのか…と感慨に耽りながら
目指す秘境に向けて狙いを定めるべく、
管制塔からの指示に従って、女性器を舐め――:page

………………
…………
……:page"
Escn01-01_ev002-003p-0001_R,"
――管制室からストップの声が上がる:page

アラートが鳴っていた:page

ニオイ:page

決して嫌いなニオイではなかいのだが、
どこか本能的に危険信号を鳴らしていた:page

目の前に無防備な女性器
準備完了の下半身と現場:page

条件は揃っているのに、動きが止まってしまう:page

"
Escn01-01_ev002-003p-0002_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0068','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ま、まだなのか…？:page

\n<\v[153]>あの…つかぬことをお伺いしますが…
最後にお風呂…水浴びしたのはいつでしょうか…？:page

"
Escn01-01_ev002-003p-0003_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0069-1','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>んぁ？
水浴びじゃと…？:page

\n<？？？>………………
…………
……:page

"
Escn01-01_ev002-003p-0004_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0069-2','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>何年前じゃったか\r[喃,のう]…？
最近起きたのが今日でその前は――:page

どうやら相当な期間、体を洗っていないらしい:page

にもかかわらず、本能を刺激してくる香りを
漂わせているとは、女性器…侮れない…
さすが、童貞を殺す最終兵器……ってそうじゃなくて――:page

今は人型になってもらっているが、元は狐
それも大分不潔な状態が続いている:page

それにネットで見た情報で、狐には寄生虫が
いるとかいないとか…:page

そう、エキノコックス……:page

興味本位でウ◎キペディアを見た所、
想像を絶する内容だったので、もしコイツに
寄生されているとしたら…？:page

セックスとは、粘膜と粘膜の濃厚接触……:page

残念ながら、童貞の装備一覧に
コンドームの名前はなかった:page

"
Escn01-01_ev002-003p-0005_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0070-1','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>一体どうした？？
そんな神妙な面持ちになりよって:page

"
Escn01-01_ev002-003p-0006_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0070-2','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>せっかくお主の理想の姿になったというに……:page

"
Escn01-01_ev002-003p-0007_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0070-3','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>もしやまだ不満なところでもあるのか？:page

\n<\v[153]>いやその…、今現在はいろんな理由から
保留という事で……:page

\n<\v[153]>あ、いや決して童貞だからとか
怖くなったからとかそういうのでは…:page

"
Escn01-01_ev002-003p-0008_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0071-1','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ふむぅ…よく分からんが、
今この時にまぐわうのは保留にする、と:page

"
Escn01-01_ev002-003p-0009_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0071-2','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>そういうことじゃな？:page

\n<\v[153]>ちょっと時間を開けてからさせていただけると……:page

"
Escn01-01_ev002-003p-0010_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0072-1','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>わ、分かっておる！
約束は約束、願いは願いじゃ:page

"
Escn01-01_ev002-003p-0011_R,":script[immediate]
AudioManager.playVoice({'name':'HeroineSex/s-0072-2','volume':ConfigManager['voiceVolume'],'pitch':100,'pan':0});
:end
\n<？？？>ちゃんと、後でお主とまぐわってやるから安心せい…:page

"
